model,dv,n_obs,deg1_r2,deg2_r2,deg3_r2,ferguson_degree,ferguson_r2,delta_r2_vs_linear,last_term_gain,shape
Llama-1B,Engagement,986,-inf,-inf,-inf,1,-inf,0.0,0.0,Flat
Llama-1B,Difficulty Delta,986,0.491,0.5778,0.6525,3,0.6525,0.1615,0.0747,Sigmoidal
Llama-3B,Engagement,1010,0.7591,0.7598,0.7603,1,0.7591,0.0,0.0,Linear
Llama-3B,Difficulty Delta,1010,0.4752,0.6385,0.6453,2,0.6385,0.1633,0.1633,Quadratic (Concave-down)
Llama-8B,Engagement,1010,0.9173,0.9185,0.9242,1,0.9173,0.0,0.0,Linear
Llama-8B,Difficulty Delta,1010,0.7896,0.8511,0.8749,2,0.8511,0.0615,0.0615,Quadratic (Concave-down)
Llama-11B,Engagement,1010,0.9249,0.9303,0.9367,1,0.9249,0.0,0.0,Linear
Llama-11B,Difficulty Delta,1010,0.7583,0.7922,0.8185,3,0.8185,0.0602,0.0263,Sigmoidal
Mistral-7B,Engagement,1010,0.9535,0.9615,0.9618,1,0.9535,0.0,0.0,Linear
Mistral-7B,Difficulty Delta,1010,0.3599,0.7347,0.7478,2,0.7347,0.3748,0.3748,Quadratic (Concave-down)
Qwen-7B,Engagement,1010,0.8462,0.8491,0.87,1,0.8462,0.0,0.0,Linear
Qwen-7B,Difficulty Delta,1010,0.7692,0.7823,0.8371,3,0.8371,0.0679,0.0548,Sigmoidal
Qwen-14B,Engagement,1010,0.8425,0.8896,0.8933,2,0.8896,0.0471,0.0471,Quadratic (Concave-down)
Qwen-14B,Difficulty Delta,1010,0.6333,0.8331,0.8332,2,0.8331,0.1998,0.1998,Quadratic (Concave-down)
Qwen2.5-32B,Engagement,1010,0.933,0.9425,0.9456,1,0.933,0.0,0.0,Linear
Qwen2.5-32B,Difficulty Delta,1010,0.8676,0.8988,0.9334,3,0.9334,0.0658,0.0346,Sigmoidal
QwenVL-7B,Engagement,1010,0.8502,0.8647,0.8722,1,0.8502,0.0,0.0,Linear
QwenVL-7B,Difficulty Delta,1010,0.4899,0.8294,0.8459,2,0.8294,0.3395,0.3395,Quadratic (Concave-down)
Qwen2.5-VL-32B,Engagement,1010,0.9198,0.9339,0.9381,1,0.9198,0.0,0.0,Linear
Qwen2.5-VL-32B,Difficulty Delta,1010,0.8526,0.9165,0.9192,2,0.9165,0.0639,0.0639,Quadratic (Concave-down)
