model,dv,degree,n,r2_full,F_condition,df_condition,p_condition,eta2_condition,dR2_condition,sig_condition,F_interaction,df_interaction,p_interaction,eta2_interaction,F_gaze_aversion,p_gaze_aversion,eta2_gaze_aversion,dR2_gaze_aversion,F_direct_gaze_explicit,p_direct_gaze_explicit,eta2_direct_gaze_explicit,dR2_direct_gaze_explicit,F_ga_vs_dge,df_ga_vs_dge,p_ga_vs_dge,eta2_ga_vs_dge
Llama-1B,engagement_score,1,3005,0.0107,3.493,"4,2999",0.00748,0.0046,0.0046,True,5.878,"2,2999",0.00283,0.0039,3.117,0.04449,0.0031,0.0031,7.107,0.00084,0.0071,0.007,1.658,"2,2015",0.19076,0.0016
Llama-1B,difficulty_delta,3,3005,0.7628,45.54,"8,2993",0.0,0.1085,0.0289,True,52.699,"6,2993",0.0,0.0956,55.196,0.0,0.1,0.03,70.592,0.0,0.1244,0.0363,0.852,"4,2011",0.49236,0.0017
Llama-3B,engagement_score,1,3030,0.7306,47.857,"4,3024",0.0,0.0595,0.0171,True,31.493,"2,3024",0.0,0.0204,50.671,0.0,0.0479,0.0123,77.14,0.0,0.0711,0.0211,11.561,"2,2016",1e-05,0.0113
Llama-3B,difficulty_delta,2,3030,0.5526,112.694,"6,3021",0.0,0.1829,0.1001,True,65.093,"4,3021",0.0,0.0793,142.507,0.0,0.1751,0.0962,48.487,0.0,0.0674,0.0291,142.397,"3,2014",0.0,0.175
Llama-8B,engagement_score,1,3030,0.8291,1023.853,"4,3024",0.0,0.5752,0.2315,True,949.352,"2,3024",0.0,0.3857,1843.725,0.0,0.6465,0.3368,179.204,0.0,0.1509,0.0209,937.99,"2,2016",0.0,0.482
Llama-8B,difficulty_delta,2,3030,0.7659,191.9,"6,3021",0.0,0.276,0.0892,True,270.332,"4,3021",0.0,0.2636,295.46,0.0,0.3056,0.1181,6.233,0.00033,0.0092,0.0016,240.657,"3,2014",0.0,0.2639
Llama-11B,engagement_score,1,3030,0.8211,1244.554,"4,3024",0.0,0.6221,0.2945,True,1071.836,"2,3024",0.0,0.4148,3071.257,0.0,0.7529,0.4421,299.874,0.0,0.2293,0.0444,915.664,"2,2016",0.0,0.476
Llama-11B,difficulty_delta,3,3030,0.7881,192.957,"8,3018",0.0,0.3384,0.1084,True,199.732,"6,3018",0.0,0.2842,229.995,0.0,0.3138,0.1229,21.228,0.0,0.0405,0.0068,301.893,"4,2012",0.0,0.3751
Mistral-7B,engagement_score,1,3030,0.9348,738.293,"4,3024",0.0,0.4941,0.0636,True,1218.045,"2,3024",0.0,0.4462,1141.346,0.0,0.531,0.0865,110.832,0.0,0.0991,0.0053,904.908,"2,2016",0.0,0.4731
Mistral-7B,difficulty_delta,2,3030,0.7208,1066.695,"6,3021",0.0,0.6793,0.5915,True,1476.008,"4,3021",0.0,0.6615,998.607,0.0,0.598,0.3841,1258.38,0.0,0.6521,0.5252,266.492,"3,2014",0.0,0.2842
Qwen-7B,engagement_score,1,3030,0.8557,828.746,"4,3024",0.0,0.523,0.1582,True,1406.843,"2,3024",0.0,0.482,563.922,0.0,0.3587,0.1311,281.669,0.0,0.2184,0.0302,1637.402,"2,2016",0.0,0.619
Qwen-7B,difficulty_delta,3,3030,0.7904,480.83,"8,3018",0.0,0.5604,0.2672,True,526.211,"6,3018",0.0,0.5113,828.696,0.0,0.6223,0.2919,126.918,0.0,0.2015,0.053,727.241,"4,2012",0.0,0.5911
Qwen-14B,engagement_score,2,3030,0.8458,519.909,"6,3021",0.0,0.508,0.1593,True,283.702,"4,3021",0.0,0.2731,765.579,0.0,0.5328,0.1697,700.441,0.0,0.5106,0.13,83.974,"3,2014",0.0,0.1112
Qwen-14B,difficulty_delta,2,3030,0.7493,483.099,"6,3021",0.0,0.4897,0.2406,True,417.783,"4,3021",0.0,0.3562,707.39,0.0,0.5131,0.2171,674.643,0.0,0.5012,0.2201,1.823,"3,2014",0.14092,0.0027
Qwen2.5-32B,engagement_score,1,3030,0.9357,3069.393,"4,3024",0.0,0.8024,0.2613,True,3366.189,"2,3024",0.0,0.69,4146.045,0.0,0.8044,0.3655,166.785,0.0,0.142,0.0084,4926.175,"2,2016",0.0,0.8301
Qwen2.5-32B,difficulty_delta,3,3030,0.8725,524.884,"8,3018",0.0,0.5818,0.1774,True,667.977,"6,3018",0.0,0.5704,640.07,0.0,0.56,0.2195,37.327,0.0,0.0691,0.0052,712.67,"4,2012",0.0,0.5862
QwenVL-7B,engagement_score,1,3030,0.7239,483.25,"4,3024",0.0,0.39,0.1765,True,567.374,"2,3024",0.0,0.2729,675.827,0.0,0.4014,0.1564,476.514,0.0,0.321,0.1116,341.768,"2,2016",0.0,0.2532
QwenVL-7B,difficulty_delta,2,3030,0.7676,136.259,"6,3021",0.0,0.213,0.0629,True,127.924,"4,3021",0.0,0.1448,257.397,0.0,0.2771,0.0868,63.901,0.0,0.0869,0.0192,91.055,"3,2014",0.0,0.1194
Qwen2.5-VL-32B,engagement_score,1,3030,0.9029,1306.88,"4,3024",0.0,0.6335,0.1679,True,1548.68,"2,3024",0.0,0.506,1902.286,0.0,0.6536,0.2373,100.077,0.0,0.0903,0.0069,1746.832,"2,2016",0.0,0.6341
Qwen2.5-VL-32B,difficulty_delta,2,3030,0.8749,632.406,"6,3021",0.0,0.5567,0.1571,True,591.88,"4,3021",0.0,0.4394,938.747,0.0,0.583,0.2067,3.746,0.01064,0.0055,0.0005,856.556,"3,2014",0.0,0.5606
