model,dv,bic_degree,bic_b1,bic_b2,bic_b3,bic_r2,ferguson_degree,ferg_b1,ferg_b2,ferg_b3,ferg_r2
Llama-3B,Engagement,1,0.03675,0.0,0.0,0.7591,1,0.03675,0.0,0.0,0.7591
Llama-3B,Difficulty Delta,3,0.03331,-0.000381,1.38e-06,0.6453,2,0.02507,-0.000174,0.0,0.6385
Llama-8B,Engagement,3,0.01043,0.001285,-7.95e-06,0.9242,1,0.06718,0.0,0.0,0.9173
Llama-8B,Difficulty Delta,3,0.00552,0.000302,-2.77e-06,0.8749,2,0.02206,-0.000114,0.0,0.8511
Llama-11B,Engagement,3,-0.00236,0.001406,-8.1e-06,0.9367,1,0.06507,0.0,0.0,0.9249
Llama-11B,Difficulty Delta,3,0.00135,0.000318,-2.63e-06,0.8185,3,0.00135,0.000318,-2.63e-06,0.8185
Mistral-7B,Engagement,3,0.10538,-0.00053,1.91e-06,0.9618,1,0.06957,0.0,0.0,0.9535
Mistral-7B,Difficulty Delta,3,0.03549,-0.00044,1.53e-06,0.7478,2,0.02633,-0.00021,0.0,0.7347
Qwen-7B,Engagement,3,-0.03066,0.001824,-1.143e-05,0.87,1,0.04851,0.0,0.0,0.8462
Qwen-7B,Difficulty Delta,3,-0.00847,0.000525,-3.82e-06,0.8371,3,-0.00847,0.000525,-3.82e-06,0.8371
Qwen-14B,Engagement,3,0.14286,-0.001373,5.7e-06,0.8933,2,0.10881,-0.000517,0.0,0.8896
Qwen-14B,Difficulty Delta,2,0.036,-0.000246,0.0,0.8331,2,0.036,-0.000246,0.0,0.8331
QwenVL-7B,Engagement,3,0.13019,-0.001451,7.81e-06,0.8722,1,0.05564,0.0,0.0,0.8502
QwenVL-7B,Difficulty Delta,3,0.0433,-0.000543,2.04e-06,0.8459,2,0.03112,-0.000237,0.0,0.8294
